feature,mean_importance
V11,-1.6935974990245697e-05
V1,-5.564842435216727e-06
Amount,3.4694469519536144e-19
V18,8.69415579532462e-06
V3,2.591788198630625e-05
V16,2.801841933237183e-05
V4,9.556211797179985e-05
V7,0.00010127367785945744
V10,0.0001421653485949588
V12,0.0006762904182882004
V17,0.0007996044910700424
V14,0.0010109788786943912
