feature,mean_importance
Amount,0.0
V12,0.0
V16,0.0
V3,0.0
V7,0.0
V11,0.0
V4,0.0
V18,0.0
V1,0.0
V10,0.0009451962851347049
V14,0.0010029024133425396
V17,0.002723909430363863
