feature,mean_importance
V12,-2.5091145894839962e-05
V17,-1.592883838853476e-05
V11,-9.061131252485755e-06
V18,-7.520707948072136e-06
V3,3.3147721365200945e-06
V1,9.290937356798423e-06
Amount,4.934231863055194e-05
V16,6.407716311738199e-05
V7,6.94375632030897e-05
V4,0.00011422233051081588
V10,0.0003138002305682286
V14,0.00043067712939489635
