feature,mean_importance
V18,-6.500829963470428e-05
V16,-3.996183729517572e-05
V11,4.6480444351160165e-05
V1,4.8573433307813604e-05
V12,5.269459981872559e-05
V7,6.780350957845266e-05
V17,9.477351865356393e-05
V3,0.0001039552055434434
Amount,0.00013116189653669119
V4,0.00013749427471801274
V10,0.0005318023972168239
V14,0.0009223496662554189
